# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: design
# Creation date: 02/16/2026 17:38:55
# 
# 02/16/2026 17:38:55
# The parameters defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5
DP 0,20,0.9,0.899999999999998,17
# 
# A non parametric change occurred and invalidated design point results.
# 02/16/2026 18:05:51
# 
# 
# 02/16/2026 18:12:37
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm],P6 - fillet_size [mm],P7 - Total Deformation Reported Frequency [Hz],P8 - Total Deformation 2 Reported Frequency [Hz],P9 - Total Deformation 3 Reported Frequency [Hz],P10 - Total Deformation 4 Reported Frequency [Hz],P11 - Directional Deformation Maximum [mm],P12 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5,P6,P7,P8,P9,P10,P11,P12
DP 0,8.75,0.4,0.4,12.25,0.1,102.94483280395102,969.5931255120164,992.46900151668024,1352.1473591923045,0.23604439198970795,5.5367321547330146
DP 0,8.75,0.4,0.4,14.5,0.1,92.744324490320551,847.11995533330753,916.82550121256259,1035.2390302163428,0.29221612215042114,5.9309815607121115
DP 0,8.75,0.4,0.4,16.75,0.1,75.4466308681782,733.78103776449473,821.4340966176203,842.16563416147676,0.44268158078193665,6.0015100163336133
DP 0,12.5,0.4,0.4,10,0.1,159.59820918575647,1231.6152750059498,1267.6529576524997,1410.5610484201106,0.09827791154384613,4.3564985891231283
DP 0,12.5,0.4,0.4,12.25,0.1,107.03352781200027,1076.9866634649823,1167.8120974232093,1347.6769975890779,0.21823419630527496,4.540420503515108
DP 0,12.5,0.4,0.4,14.5,0.1,90.761932832849823,953.74455359621822,1088.7572549572512,1113.10681696969,0.3047022819519043,5.4431140021609821
DP 0,12.5,0.4,0.4,16.75,0.1,77.417638968942612,855.41371634975451,1007.6760152771697,1047.897315783352,0.418733149766922,4.9572633147022414
DP 0,16.25,0.4,0.4,10,0.1,174.89385123429216,1262.8917422786585,1361.7437604812988,1378.7510893616929,0.082004040479660034,4.2667709006507293
DP 0,16.25,0.4,0.4,12.25,0.1,136.91159140324814,1117.5956147122972,1275.5842439209937,1308.31738331909,0.13377675414085388,4.2734655220798654
DP 0,5,0.4,0.4,10,0.1,114.20482474395027,772.39247247020785,855.64170035516156,1443.5668250462622,0.19141516089439392,6.1841361140647866
